,CODDEPTO,AÑO,Hectáreas cultivadas,DEPARTAMENTO,POBLACIÓN,TASA_MATRICULACIÓN,COBERTURA_NETA,COBERTURA_BRUTA,DESERCIÓN,APROBACIÓN,REPROBACIÓN,REPITENCIA
232,91,2015,111.17,AMAZONAS,22212,81.49,81.46,95.76,4.76,89.23,6.01,1.65
233,91,2016,166.77,AMAZONAS,22243,81.4,81.35,96.12,5.06,89.11,5.83,6.61
234,91,2017,165.62,AMAZONAS,22269,83.6,82.1,96.56,4.88,87.45,7.67,5.96
235,91,2018,121.64999999999999,AMAZONAS,22257,81.13,81.46,95.04,4.87,91.17,3.96,4.12
236,91,2019,124.64,AMAZONAS,22435,81.4,81.4,95.56,4.17,88.23,7.6,7.07
237,91,2020,61.45,AMAZONAS,22563,81.26,81.24,94.99,2.37,88.72,8.91,10.0
238,91,2021,72.76,AMAZONAS,22670,82.03,81.96,95.93,5.04,86.04,8.92,14.76
239,91,2022,103.39,AMAZONAS,23239,77.25,77.24,90.58,6.11,88.45,5.44,10.42
240,94,2011,318.0,GUAINÍA,11920,74.87,74.87,95.52,10.94,73.92,15.5,0.77
241,94,2012,301.0,GUAINÍA,11920,70.82,70.82,85.9,8.91,78.18,12.91,1.75
242,94,2013,81.0,GUAINÍA,11918,72.57,72.56,114.03,4.93,79.71,15.36,3.59
243,94,2014,66.0,GUAINÍA,11916,73.67,73.67,90.09,4.88,81.94,13.17,4.64
244,94,2015,36.730000000000004,GUAINÍA,11913,75.3,75.3,93.44,7.64,75.4,16.96,2.12
245,94,2016,21.61,GUAINÍA,11935,77.6,77.64,95.79,8.21,74.85,16.94,1.9
246,94,2017,30.54,GUAINÍA,11965,80.0,79.98,97.94,7.68,76.79,15.53,3.13
247,94,2018,41.22,GUAINÍA,15766,81.64,62.28,77.05,7.14,77.64,15.22,5.08
248,94,2019,22.27,GUAINÍA,15808,66.26,66.26,80.77,5.7,78.65,15.65,7.31
249,94,2020,19.15,GUAINÍA,15771,70.52,70.51,83.91,3.53,81.46,15.01,10.5
250,94,2021,48.69,GUAINÍA,15643,78.05,77.96,92.44,8.67,72.0,19.32,10.23
251,94,2022,36.92,GUAINÍA,16612,67.6,67.6,77.76,7.08,79.21,13.71,13.02
252,95,2011,6839.0,GUAVIARE,31133,64.04,64.02,78.3,9.02,91.15,0.18,2.41
253,95,2012,3850.0,GUAVIARE,31272,59.2,59.18,71.3,4.86,94.89,0.26,1.5
254,95,2013,4725.0,GUAVIARE,31276,57.33,57.32,70.31,4.02,95.97,0.01,1.16
255,95,2014,5658.0,GUAVIARE,31344,56.23,56.23,67.66,2.57,97.17,0.26,1.42
256,95,2015,5423.12,GUAVIARE,31553,54.91,54.9,65.9,4.7,87.99,7.31,1.21
257,95,2016,6837.99,GUAVIARE,31671,54.8,54.83,65.4,4.7,89.19,6.11,2.85
258,95,2017,4922.67,GUAVIARE,31876,55.0,55.02,67.6,4.34,94.39,1.27,2.86
259,95,2018,4339.96,GUAVIARE,21118,55.7,84.61,105.08,3.36,87.78,8.86,3.46
260,95,2019,3118.85,GUAVIARE,21301,83.11,83.09,100.82,4.47,88.03,7.5,1.64
261,95,2020,3226.65,GUAVIARE,21482,83.07,83.06,100.72,4.41,86.67,8.92,6.04
