,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,Categoría cultivo,AÑO,Hectáreas cultivadas,IICA,Categoría IICA
61,13,BOLÍVAR,13268,EL PEÑÓN,Cultivo abandonado,2017,0.0,0.0,Bajo
62,13,BOLÍVAR,13458,MONTECRISTO,Cultivo permanente,2017,510.89,0.14,Bajo
63,13,BOLÍVAR,13473,MORALES,Cultivo permanente,2017,208.58,0.03,Bajo
64,13,BOLÍVAR,13490,NOROSI,Cultivo permanente,2017,8.78,0.12,Bajo
65,13,BOLÍVAR,13600,RIOVIEJO,Cultivo permanente,2017,15.08,0.01,Bajo
66,13,BOLÍVAR,13655,SAN JACINTO DEL CAUCA,Cultivo permanente,2017,161.54,0.05,Bajo
67,13,BOLÍVAR,13667,SAN MARTÍN DE LOBA,Cultivo intermintente,2017,4.25,0.02,Bajo
68,13,BOLÍVAR,13670,SAN PABLO,Cultivo permanente,2017,2300.37,0.14,Bajo
69,13,BOLÍVAR,13688,SANTA ROSA DEL SUR,Cultivo permanente,2017,1437.1,0.11,Bajo
70,13,BOLÍVAR,13744,SIMITÍ,Cultivo permanente,2017,781.04,0.05,Bajo
71,13,BOLÍVAR,13810,TIQUISIO ,Cultivo permanente,2017,117.04,0.04,Bajo
72,15,BOYACÁ,15212,COPER,Cultivo abandonado,2017,0.0,0.0,Bajo
73,15,BOYACÁ,15223,CUBARÁ,Cultivo abandonado,2017,0.0,0.07,Bajo
74,15,BOYACÁ,15401,LA VICTORIA,Cultivo abandonado,2017,0.0,0.0,Bajo
75,15,BOYACÁ,15442,MARIPÍ,Cultivo abandonado,2017,0.0,0.03,Bajo
76,15,BOYACÁ,15480,MUZO,Cultivo abandonado,2017,0.0,0.0,Bajo
77,15,BOYACÁ,15507,OTANCHE,Cultivo intermintente,2017,0.0,0.02,Bajo
78,15,BOYACÁ,15531,PAUNA,Cultivo abandonado,2017,0.0,0.04,Bajo
79,15,BOYACÁ,15572,PUERTO BOYACÁ,Cultivo permanente,2017,21.99,0.04,Bajo
80,15,BOYACÁ,15580,QUÍPAMA,Cultivo abandonado,2017,0.0,0.02,Bajo
81,15,BOYACÁ,15681,SAN PABLO DE BORBUR,Cultivo abandonado,2017,0.0,0.03,Bajo
82,15,BOYACÁ,15696,SANTA SOFÍA,Cultivo abandonado,2017,0.0,0.0,Bajo
83,15,BOYACÁ,15832,TUNUNGUÁ,Cultivo abandonado,2017,0.0,0.0,Bajo
84,17,CALDAS,17433,MANZANARES,Cultivo abandonado,2017,0.0,0.02,Bajo
85,17,CALDAS,17495,NORCASIA,Cultivo abandonado,2017,0.0,0.01,Bajo
86,17,CALDAS,17541,PENSILVANIA,Cultivo abandonado,2017,0.0,0.01,Bajo
87,17,CALDAS,17662,SAMANÁ,Cultivo abandonado,2017,0.0,0.01,Bajo
88,17,CALDAS,17867,VICTORIA,Cultivo abandonado,2017,0.0,0.04,Bajo
89,18,CAQUETÁ,18029,ALBANIA,Cultivo permanente,2017,63.28,0.21,Bajo
90,18,CAQUETÁ,18094,BELÉN DE LOS ANDAQUÍES,Cultivo intermintente,2017,201.43,0.17,Bajo
91,18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,Cultivo permanente,2017,1369.17,0.15,Bajo
92,18,CAQUETÁ,18205,CURILLO,Cultivo permanente,2017,471.31,0.05,Bajo
93,18,CAQUETÁ,18247,EL DONCELLO,Cultivo permanente,2017,454.95,0.1,Bajo
94,18,CAQUETÁ,18256,EL PAUJIL,Cultivo permanente,2017,951.65,0.09,Bajo
95,18,CAQUETÁ,18001,FLORENCIA,Cultivo permanente,2017,218.4,0.05,Bajo
96,18,CAQUETÁ,18460,MILÁN,Cultivo permanente,2017,1135.54,0.27,Bajo
97,18,CAQUETÁ,18410,MONTAÑITA,Cultivo permanente,2017,2491.73,0.27,Bajo
98,18,CAQUETÁ,18479,MORELIA,Cultivo intermintente,2017,16.06,0.03,Bajo
99,18,CAQUETÁ,18592,PUERTO RICO,Cultivo permanente,2017,1635.95,0.27,Bajo
100,18,CAQUETÁ,18610,SAN JOSÉ DEL FRAGUA,Cultivo permanente,2017,1414.45,0.17,Bajo
101,18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,Cultivo permanente,2017,380.85,0.2,Bajo
102,18,CAQUETÁ,18756,SOLANO,Cultivo permanente,2017,763.8,0.38,Bajo
103,18,CAQUETÁ,18785,SOLITA,Cultivo permanente,2017,42.15,0.03,Bajo
104,18,CAQUETÁ,18860,VALPARAÍSO,Cultivo permanente,2017,182.53,0.04,Bajo
105,19,CAUCA,19022,ALMAGUER,Cultivo abandonado,2017,0.0,0.15,Bajo
106,19,CAUCA,19050,ARGELIA,Cultivo permanente,2017,1956.52,0.21,Bajo
107,19,CAUCA,19075,BALBOA,Cultivo permanente,2017,82.33,0.08,Bajo
108,19,CAUCA,19100,BOLÍVAR,Cultivo permanente,2017,85.31,0.05,Bajo
109,19,CAUCA,19110,BUENOS AIRES,Cultivo intermintente,2017,64.54,0.13,Bajo
110,19,CAUCA,19130,CAJIBÍO,Cultivo intermintente,2017,407.19,0.09,Bajo
111,19,CAUCA,19137,CALDONO,Cultivo emergente,2017,0.0,0.08,Bajo
112,19,CAUCA,19142,CALOTO,Cultivo intermintente,2017,0.0,0.19,Bajo
113,19,CAUCA,19212,CORINTO,Cultivo intermintente,2017,0.0,0.51,Medio bajo
114,19,CAUCA,19256,EL TAMBO,Cultivo permanente,2017,6661.01,0.42,Bajo
115,19,CAUCA,19290,FLORENCIA,Cultivo abandonado,2017,0.0,0.24,Bajo
116,19,CAUCA,19318,GUAPI,Cultivo permanente,2017,720.88,0.1,Bajo
117,19,CAUCA,19364,JAMBALÓ,Cultivo emergente,2017,0.0,0.08,Bajo
118,19,CAUCA,19392,LA SIERRA,Cultivo abandonado,2017,0.0,0.03,Bajo
119,19,CAUCA,19397,LA VEGA,Cultivo abandonado,2017,0.0,0.04,Bajo
120,19,CAUCA,19418,LÓPEZ,Cultivo permanente,2017,1467.97,0.19,Bajo
121,19,CAUCA,19450,MERCADERES,Cultivo intermintente,2017,126.54,0.2,Bajo
122,19,CAUCA,19455,MIRANDA,Cultivo intermintente,2017,0.0,0.15,Bajo
123,19,CAUCA,19473,MORALES,Cultivo permanente,2017,340.32,0.03,Bajo
124,19,CAUCA,19532,PATÍA  ,Cultivo permanente,2017,350.34,0.13,Bajo
125,19,CAUCA,19533,PIAMONTE,Cultivo permanente,2017,1780.44,0.32,Bajo
126,19,CAUCA,19548,PIENDAMÓ,Cultivo emergente,2017,0.0,0.03,Bajo
127,19,CAUCA,19622,ROSAS,Cultivo intermintente,2017,2.78,0.15,Bajo
128,19,CAUCA,19701,SANTA ROSA,Cultivo intermintente,2017,0.0,0.05,Bajo
129,19,CAUCA,19698,SANTANDER DE QUILICHAO,Cultivo emergente,2017,0.0,0.1,Bajo
130,19,CAUCA,19760,SOTARÁ ,Cultivo abandonado,2017,0.0,0.02,Bajo
131,19,CAUCA,19780,SUÁREZ,Cultivo permanente,2017,267.19,0.34,Bajo
132,19,CAUCA,19785,SUCRE,Cultivo permanente,2017,13.5,0.2,Bajo
133,19,CAUCA,19807,TIMBÍO,Cultivo intermintente,2017,0.0,0.09,Bajo
134,19,CAUCA,19809,TIMBIQUÍ,Cultivo permanente,2017,1633.45,0.15,Bajo
135,19,CAUCA,19821,TORIBÍO,Cultivo intermintente,2017,0.0,0.08,Bajo
136,20,CESAR,20178,CHIRIGUANÁ,Cultivo abandonado,2017,2.43,0.07,Bajo
137,20,CESAR,20310,GONZÁLEZ,Cultivo permanente,2017,7.78,0.12,Bajo
138,20,CESAR,20517,PAILITAS,Cultivo abandonado,2017,0.0,0.09,Bajo
139,20,CESAR,20710,SAN ALBERTO,Cultivo intermintente,2017,10.72,0.02,Bajo
140,20,CESAR,20770,SAN MARTÍN,Cultivo intermintente,2017,3.42,0.02,Bajo
141,27,CHOCÓ,27006,ACANDÍ,Cultivo permanente,2017,8.96,0.11,Bajo
142,27,CHOCÓ,27025,ALTO BAUDÓ ,Cultivo permanente,2017,39.17,0.3,Bajo
143,27,CHOCÓ,27050,ATRATO ,Cultivo intermintente,2017,0.0,0.16,Bajo
144,27,CHOCÓ,27075,BAHÍA SOLANO ,Cultivo abandonado,2017,0.0,0.07,Bajo
145,27,CHOCÓ,27077,BAJO BAUDÓ  ,Cultivo permanente,2017,79.75,0.12,Bajo
146,27,CHOCÓ,27099,BOJAYÁ ,Cultivo abandonado,2017,0.0,0.01,Bajo
147,27,CHOCÓ,27150,CARMEN DEL DARIÉN  ,Cultivo permanente,2017,159.99,0.29,Bajo
148,27,CHOCÓ,27205,CONDOTO,Cultivo permanente,2017,13.53,0.05,Bajo
149,27,CHOCÓ,27135,EL CANTÓN DEL SAN PABLO,Cultivo intermintente,2017,11.73,0.1,Bajo
150,27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,Cultivo permanente,2017,184.52,0.25,Bajo
151,27,CHOCÓ,27361,ISTMINA,Cultivo permanente,2017,743.05,0.11,Bajo
152,27,CHOCÓ,27372,JURADÓ,Cultivo abandonado,2017,0.0,0.09,Bajo
153,27,CHOCÓ,27413,LLORÓ,Cultivo intermintente,2017,1.37,0.16,Bajo
154,27,CHOCÓ,27425,MEDIO ATRATO ,Cultivo abandonado,2017,0.0,0.09,Bajo
155,27,CHOCÓ,27430,MEDIO BAUDÓ ,Cultivo permanente,2017,64.52,0.16,Bajo
156,27,CHOCÓ,27450,MEDIO SAN JUAN ,Cultivo permanente,2017,305.05,0.17,Bajo
157,27,CHOCÓ,27491,NÓVITA,Cultivo permanente,2017,162.33,0.13,Bajo
158,27,CHOCÓ,27495,NUQUÍ,Cultivo abandonado,2017,0.0,0.04,Bajo
