,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,AÑO,Kilogramos incautadas
98,11,BOGOTÁ D.C.,11001,BOGOTÁ D.C.,1999,3538.849
99,13,BOLÍVAR,13001,CARTAGENA DE INDIAS ,1999,2769.0
100,13,BOLÍVAR,13006,ACHÍ,1999,0.0
101,13,BOLÍVAR,13030,ALTOS DEL ROSARIO,1999,0.0
102,13,BOLÍVAR,13042,ARENAL,1999,0.0
103,13,BOLÍVAR,13052,ARJONA,1999,0.0
104,13,BOLÍVAR,13160,CANTAGALLO,1999,0.0
105,13,BOLÍVAR,13212,CÓRDOBA,1999,0.0
106,13,BOLÍVAR,13244,EL CARMEN DE BOLÍVAR,1999,0.0
107,13,BOLÍVAR,13430,MAGANGUÉ,1999,15.0
108,13,BOLÍVAR,13442,MARIA LA BAJA,1999,0.0
109,13,BOLÍVAR,13468,MOMPÓS,1999,0.0
110,13,BOLÍVAR,13549,PINILLOS,1999,0.0
111,13,BOLÍVAR,13655,SAN JACINTO DEL CAUCA,1999,0.0
112,13,BOLÍVAR,13670,SAN PABLO,1999,2.0
113,13,BOLÍVAR,13673,SANTA CATALINA,1999,0.0
114,13,BOLÍVAR,13683,SANTA ROSA,1999,0.0
115,13,BOLÍVAR,13688,SANTA ROSA DEL SUR,1999,0.0
116,13,BOLÍVAR,13760,SOPLAVIENTO,1999,0.0
117,13,BOLÍVAR,13810,TIQUISIO ,1999,0.0
118,13,BOLÍVAR,13836,TURBACO,1999,0.0
119,13,BOLÍVAR,13873,VILLANUEVA,1999,0.0
120,13,BOLÍVAR,13894,ZAMBRANO,1999,0.0
121,15,BOYACÁ,15001,TUNJA,1999,0.206
122,15,BOYACÁ,15051,ARCABUCO,1999,0.0
123,15,BOYACÁ,15135,CAMPOHERMOSO,1999,0.0
124,15,BOYACÁ,15204,CÓMBITA,1999,0.0
125,15,BOYACÁ,15236,CHIVOR,1999,0.0
126,15,BOYACÁ,15299,GARAGOA,1999,0.0
127,15,BOYACÁ,15322,GUATEQUE,1999,0.0
128,15,BOYACÁ,15325,GUAYATÁ,1999,0.0
129,15,BOYACÁ,15425,MACANAL,1999,233.0
130,15,BOYACÁ,15442,MARIPÍ,1999,0.0
131,15,BOYACÁ,15480,MUZO,1999,0.0
132,15,BOYACÁ,15507,OTANCHE,1999,0.0
133,15,BOYACÁ,15531,PAUNA,1999,0.0
134,15,BOYACÁ,15572,PUERTO BOYACÁ,1999,0.0
135,15,BOYACÁ,15580,QUÍPAMA,1999,0.0
136,15,BOYACÁ,15632,SABOYÁ,1999,0.0
137,15,BOYACÁ,15667,SAN LUIS DE GACENO,1999,0.0
138,15,BOYACÁ,15681,SAN PABLO DE BORBUR,1999,0.0
139,15,BOYACÁ,15690,SANTA MARÍA,1999,0.0
140,15,BOYACÁ,15696,SANTA SOFÍA,1999,0.0
141,15,BOYACÁ,15759,SOGAMOSO,1999,0.17
142,15,BOYACÁ,15837,TUTA,1999,0.0
143,17,CALDAS,17001,MANIZALES,1999,4.0
144,17,CALDAS,17174,CHINCHINÁ,1999,0.0
145,17,CALDAS,17380,LA DORADA,1999,23.0
146,17,CALDAS,17388,LA MERCED,1999,0.0
147,17,CALDAS,17486,NEIRA,1999,0.5
148,17,CALDAS,17524,PALESTINA,1999,0.0
149,17,CALDAS,17541,PENSILVANIA,1999,0.0
150,17,CALDAS,17614,RIOSUCIO,1999,1.0
151,17,CALDAS,17653,SALAMINA,1999,0.0
152,17,CALDAS,17662,SAMANÁ,1999,0.0
153,17,CALDAS,17777,SUPÍA,1999,0.0
154,17,CALDAS,17873,VILLAMARÍA,1999,0.0
155,18,CAQUETÁ,18001,FLORENCIA,1999,4.8
