,CODDEPTO,DEPARTAMENTO,AÑO,Hectáreas cultivadas,Cobertura de acueducto,Cobertura de alcantarillado
0,5,ANTIOQUIA,2008,5561.0,61.75244897959183,52.378367346938774
1,5,ANTIOQUIA,2009,3998.0,56.811428571428564,50.15
2,5,ANTIOQUIA,2010,5018.0,53.83020408163265,46.30836734693878
3,5,ANTIOQUIA,2011,3105.0,56.6021568627451,46.51490196078432
4,5,ANTIOQUIA,2012,2725.0,56.8121568627451,52.41117647058823
5,5,ANTIOQUIA,2013,991.0,56.392941176470586,51.403333333333336
6,5,ANTIOQUIA,2014,2293.0,55.22039215686275,49.517450980392155
7,5,ANTIOQUIA,2015,2402.57,58.8934,48.7934
8,5,ANTIOQUIA,2016,8711.43,58.4882,45.4916
9,5,ANTIOQUIA,2017,13680.83,55.155490196078425,43.52333333333333
10,5,ANTIOQUIA,2018,11572.210000000001,51.29777777777778,42.22511111111111
11,5,ANTIOQUIA,2019,9481.93,55.61529411764706,43.52647058823529
12,5,ANTIOQUIA,2020,12044.12,55.7208,45.142799999999994
13,5,ANTIOQUIA,2021,16980.91,54.90509803921568,44.94686274509804
14,13,BOLÍVAR,2008,5519.0,56.27076923076923,21.67538461538462
15,13,BOLÍVAR,2009,4434.0,55.66384615384615,32.32153846153846
16,13,BOLÍVAR,2010,3291.0,65.90066666666667,27.498
17,13,BOLÍVAR,2011,1609.0,60.79583333333333,28.4325
18,13,BOLÍVAR,2012,1962.0,52.12071428571428,38.732142857142854
19,13,BOLÍVAR,2013,896.0,53.776153846153846,36.966923076923074
20,13,BOLÍVAR,2014,1473.0,74.735,48.48142857142857
21,13,BOLÍVAR,2015,1043.02,66.083125,44.785000000000004
22,13,BOLÍVAR,2016,4094.2799999999997,68.485625,38.071875
23,13,BOLÍVAR,2017,6174.76,63.847692307692306,37.77230769230769
24,13,BOLÍVAR,2018,4577.5,60.767500000000005,39.13166666666667
25,13,BOLÍVAR,2019,7965.09,56.797333333333334,34.30733333333333
26,13,BOLÍVAR,2020,9373.25,57.540625,29.504375
27,13,BOLÍVAR,2021,11514.38,49.961875,23.735
28,15,BOYACÁ,2008,197.0,40.623333333333335,33.51583333333333
29,15,BOYACÁ,2009,183.0,41.776666666666664,33.785833333333336
30,15,BOYACÁ,2010,105.0,51.22833333333333,43.415
31,15,BOYACÁ,2011,94.0,51.41583333333333,42.27333333333333
32,15,BOYACÁ,2012,10.0,42.6575,34.24333333333333
33,15,BOYACÁ,2013,17.0,43.169999999999995,33.29666666666667
34,15,BOYACÁ,2014,14.0,44.75727272727273,34.62
35,15,BOYACÁ,2015,7.71,42.593636363636364,33.96454545454546
36,15,BOYACÁ,2016,14.99,36.95583333333334,30.363333333333333
37,15,BOYACÁ,2017,21.99,41.54083333333333,31.885833333333334
38,15,BOYACÁ,2018,16.48,42.548181818181824,33.11181818181819
39,15,BOYACÁ,2019,4.24,41.7875,32.93083333333333
40,15,BOYACÁ,2020,6.35,40.794999999999995,31.665000000000003
41,15,BOYACÁ,2021,17.95,46.3725,34.8025
42,17,CALDAS,2008,148.0,81.755,54.4875
43,17,CALDAS,2009,129.0,71.4525,72.45
44,17,CALDAS,2010,37.0,58.53,79.62
45,17,CALDAS,2011,37.0,31.896666666666665,23.566666666666663
46,17,CALDAS,2012,8.0,32.41,18.8
47,17,CALDAS,2013,8.0,36.263333333333335,49.13666666666666
48,17,CALDAS,2014,0.0,46.286,48.676
49,17,CALDAS,2015,0.0,40.944,41.032
50,17,CALDAS,2016,0.0,39.465999999999994,25.6
51,17,CALDAS,2017,0.0,44.75,31.144
52,17,CALDAS,2018,0.0,45.192,31.704
53,17,CALDAS,2019,0.0,54.136,38.275999999999996
54,17,CALDAS,2020,0.0,54.648,36.564
55,17,CALDAS,2021,0.0,54.648,36.614
56,18,CAQUETÁ,2008,4303.0,65.643125,62.035625
57,18,CAQUETÁ,2009,3759.0,64.099375,60.516875
58,18,CAQUETÁ,2010,2578.0,75.02625,70.82875
59,18,CAQUETÁ,2011,3327.0,76.780625,72.606875
60,18,CAQUETÁ,2012,3694.0,65.7975,62.233125
61,18,CAQUETÁ,2013,4322.0,69.060625,67.063125
62,18,CAQUETÁ,2014,6542.0,68.25625,66.618125
63,18,CAQUETÁ,2015,7712.469999999999,59.46625,56.57375
64,18,CAQUETÁ,2016,8974.96,52.678,50.227333333333334
65,18,CAQUETÁ,2017,11793.25,50.065,47.201875
66,18,CAQUETÁ,2018,7671.71,57.74583333333334,53.6575
67,18,CAQUETÁ,2019,4511.46,59.255,56.06375
68,18,CAQUETÁ,2020,2054.94,63.457499999999996,59.89625
69,18,CAQUETÁ,2021,3668.6000000000004,50.99375,47.4375
70,19,CAUCA,2008,5422.0,66.00766666666667,23.340666666666667
71,19,CAUCA,2009,5795.0,71.38357142857143,22.25714285714286
72,19,CAUCA,2010,5908.0,72.69633333333333,26.982000000000003
73,19,CAUCA,2011,6066.0,68.30607142857143,28.755714285714284
74,19,CAUCA,2012,4327.0,55.928620689655176,25.500344827586208
75,19,CAUCA,2013,3326.0,53.25692307692308,24.272307692307695
76,19,CAUCA,2014,6373.0,55.347931034482755,31.209655172413793
77,19,CAUCA,2015,8281.16,49.63703703703704,26.876666666666665
78,19,CAUCA,2016,12595.439999999999,43.09129032258064,27.936129032258062
79,19,CAUCA,2017,15960.31,40.26733333333333,26.913666666666664
80,19,CAUCA,2018,7413.4,44.06181818181818,28.755454545454544
81,19,CAUCA,2019,16710.97,48.91392857142857,29.01214285714286
82,19,CAUCA,2020,15908.52,48.779629629629625,31.471111111111114
83,19,CAUCA,2021,25099.09,42.045806451612904,25.817741935483873
84,20,CESAR,2008,5.0,68.74,63.702
85,20,CESAR,2009,0.0,66.66799999999999,66.376
86,20,CESAR,2010,0.0,92.35666666666667,92.35666666666667
87,20,CESAR,2011,0.0,51.916,49.348
88,20,CESAR,2012,12.0,54.525999999999996,51.202
89,20,CESAR,2013,9.0,67.19333333333334,54.49666666666667
90,20,CESAR,2014,10.0,77.425,50.0875
91,20,CESAR,2015,33.269999999999996,55.75599999999999,52.416
92,20,CESAR,2016,26.4,73.034,73.034
93,20,CESAR,2017,24.35,75.192,73.618
94,20,CESAR,2018,31.1,73.814,73.814
95,20,CESAR,2019,38.16,70.066,70.066
96,20,CESAR,2020,32.22,64.35,64.35
97,20,CESAR,2021,10.61,64.47200000000001,64.47200000000001
98,23,CÓRDOBA,2008,1710.0,61.18166666666667,28.51833333333333
99,23,CÓRDOBA,2009,2781.0,58.15833333333333,25.189999999999998
100,23,CÓRDOBA,2010,3889.0,55.24666666666667,20.285
101,23,CÓRDOBA,2011,1088.0,57.655,23.72666666666667
102,23,CÓRDOBA,2012,1046.0,65.16333333333334,24.076666666666664
103,23,CÓRDOBA,2013,439.0,48.151666666666664,23.671666666666667
104,23,CÓRDOBA,2014,518.0,61.314,29.776
105,23,CÓRDOBA,2015,1363.0,58.79666666666666,24.651666666666667
106,23,CÓRDOBA,2016,2668.29,57.37833333333333,27.826666666666664
107,23,CÓRDOBA,2017,4780.4400000000005,63.72,27.675
108,23,CÓRDOBA,2018,4636.41,65.88833333333334,35.32666666666667
109,23,CÓRDOBA,2019,2877.57,66.15599999999999,33.836
110,23,CÓRDOBA,2020,3745.0,68.80199999999999,48.05
111,23,CÓRDOBA,2021,5480.42,71.18666666666667,50.708333333333336
112,25,CUNDINAMARCA,2008,0.0,62.605000000000004,56.655
113,25,CUNDINAMARCA,2009,0.0,75.07000000000001,71.10333333333334
114,25,CUNDINAMARCA,2010,31.0,44.17666666666667,40.21
115,25,CUNDINAMARCA,2011,18.0,37.2375,32.3725
116,25,CUNDINAMARCA,2012,0.0,38.557500000000005,10.7525
117,25,CUNDINAMARCA,2013,0.0,34.485,9.0075
118,25,CUNDINAMARCA,2014,0.0,34.442499999999995,8.98
119,25,CUNDINAMARCA,2015,0.0,13.94,9.530000000000001
120,25,CUNDINAMARCA,2016,0.0,13.795,8.8775
121,25,CUNDINAMARCA,2017,0.0,13.735,8.33
122,25,CUNDINAMARCA,2018,0.0,12.275,9.440000000000001
123,25,CUNDINAMARCA,2019,0.0,14.015,8.845
124,25,CUNDINAMARCA,2020,0.0,13.932500000000001,8.675
125,25,CUNDINAMARCA,2021,0.0,11.61,5.985
126,27,CHOCÓ,2008,2485.0,74.96782608695652,56.16391304347826
127,27,CHOCÓ,2009,1419.0,77.61260869565217,55.90217391304348
128,27,CHOCÓ,2010,2789.0,76.08391304347826,57.56695652173913
129,27,CHOCÓ,2011,1705.0,78.36625,53.29291666666666
