,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,AÑO,Kilogramos incautadas
88,23,CÓRDOBA,23580,PUERTO LIBERTADOR,1999,0.0
89,23,CÓRDOBA,23807,TIERRALTA,1999,0.0
90,25,CUNDINAMARCA,25518,PAIME,1999,0.0
91,25,CUNDINAMARCA,25718,SASAIMA,1999,0.0
92,25,CUNDINAMARCA,25823,TOPAIPÍ,1999,0.0
93,25,CUNDINAMARCA,25839,UBALÁ,1999,0.0
94,25,CUNDINAMARCA,25871,VILLAGÓMEZ,1999,0.0
95,25,CUNDINAMARCA,25885,YACOPÍ,1999,0.0
96,41,HUILA,41006,ACEVEDO,1999,0.0
97,41,HUILA,41396,LA PLATA,1999,0.0
98,41,HUILA,41548,PITAL,1999,0.0
99,41,HUILA,41668,SAN AGUSTÍN,1999,0.0
100,44,LA GUAJIRA,44001,RIOHACHA,1999,0.0
101,44,LA GUAJIRA,44090,DIBULLA,1999,0.0
102,47,MAGDALENA,47001,SANTA MARTA ,1999,2600.0
103,47,MAGDALENA,47189,CIÉNAGA,1999,0.0
104,50,META,50251,EL CASTILLO,1999,0.0
105,50,META,50325,MAPIRIPÁN,1999,0.0
106,50,META,50350,LA MACARENA,1999,0.0
107,50,META,50370,URIBE,1999,0.0
108,50,META,50400,LEJANÍAS,1999,0.0
109,50,META,50450,PUERTO CONCORDIA,1999,0.0
110,50,META,50577,PUERTO LLERAS,1999,0.0
111,50,META,50683,SAN JUAN DE ARAMA,1999,0.0
112,50,META,50689,SAN MARTÍN,1999,0.0
113,50,META,50711,VISTAHERMOSA,1999,0.0
114,52,NARIÑO,52001,PASTO,1999,0.0
115,52,NARIÑO,52051,ARBOLEDA ,1999,0.0
116,52,NARIÑO,52079,BARBACOAS,1999,0.0
117,52,NARIÑO,52203,COLÓN ,1999,0.0
118,52,NARIÑO,52215,CÓRDOBA,1999,0.0
119,52,NARIÑO,52233,CUMBITARA,1999,0.0
120,52,NARIÑO,52250,EL CHARCO,1999,0.0
121,52,NARIÑO,52256,EL ROSARIO,1999,0.0
122,52,NARIÑO,52258,EL TABLÓN,1999,0.0
123,52,NARIÑO,52260,EL TAMBO,1999,0.0
124,52,NARIÑO,52390,LA TOLA,1999,400.0
125,52,NARIÑO,52399,LA UNIÓN,1999,0.0
126,52,NARIÑO,52405,LEIVA,1999,0.0
127,52,NARIÑO,52411,LINARES,1999,0.0
128,52,NARIÑO,52418,LOS ANDES ,1999,0.0
129,52,NARIÑO,52427,MAGÜÍ ,1999,0.0
130,52,NARIÑO,52473,MOSQUERA,1999,0.0
131,52,NARIÑO,52490,OLAYA HERRERA ,1999,0.0
132,52,NARIÑO,52540,POLICARPA,1999,0.0
133,52,NARIÑO,52621,ROBERTO PAYÁN ,1999,0.0
134,52,NARIÑO,52678,SAMANIEGO,1999,0.0
