,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,AÑO,Hectáreas asperjadas
99,50,META,50350,LA MACARENA,1994,0.0
100,50,META,50568,PUERTO GAITÁN,1994,0.0
101,50,META,50680,SAN CARLOS DE GUAROA,1994,0.0
102,52,NARIÑO,52001,PASTO,1994,0.0
103,52,NARIÑO,52079,BARBACOAS,1994,0.0
104,52,NARIÑO,52250,EL CHARCO,1994,0.0
105,52,NARIÑO,52256,EL ROSARIO,1994,0.0
106,52,NARIÑO,52356,IPIALES,1994,0.0
107,52,NARIÑO,52390,LA TOLA,1994,0.0
108,52,NARIÑO,52405,LEIVA,1994,0.0
109,52,NARIÑO,52427,MAGÜÍ,1994,0.0
110,52,NARIÑO,52490,OLAYA HERRERA,1994,0.0
111,52,NARIÑO,52520,FRANCISCO PIZARRO,1994,0.0
112,52,NARIÑO,52612,RICAURTE,1994,0.0
113,52,NARIÑO,52621,ROBERTO PAYÁN,1994,0.0
114,52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,1994,0.0
115,54,NORTE DE SANTANDER,54003,ÁBREGO,1994,0.0
116,54,NORTE DE SANTANDER,54250,EL TARRA,1994,0.0
117,54,NORTE DE SANTANDER,54261,EL ZULIA,1994,0.0
118,54,NORTE DE SANTANDER,54344,HACARÍ,1994,0.0
119,54,NORTE DE SANTANDER,54670,SAN CALIXTO,1994,0.0
120,54,NORTE DE SANTANDER,54720,SARDINATA,1994,0.0
121,54,NORTE DE SANTANDER,54800,TEORAMA,1994,0.0
122,54,NORTE DE SANTANDER,54810,TIBÚ,1994,0.0
123,68,SANTANDER,68081,BARRANCABERMEJA,1994,0.0
124,68,SANTANDER,68092,BETULIA,1994,0.0
125,68,SANTANDER,68101,BOLÍVAR,1994,0.0
126,68,SANTANDER,68190,CIMITARRA,1994,0.0
127,68,SANTANDER,68250,EL PEÑÓN,1994,0.0
128,68,SANTANDER,68271,FLORIÁN,1994,0.0
129,68,SANTANDER,68385,LANDÁZURI,1994,0.0
130,68,SANTANDER,68773,SUCRE,1994,0.0
131,76,VALLE DEL CAUCA,76563,PRADERA,1994,0.0
132,81,ARAUCA,81065,ARAUQUITA,1994,0.0
133,81,ARAUCA,81300,FORTUL,1994,0.0
134,81,ARAUCA,81591,PUERTO RONDÓN,1994,0.0
135,81,ARAUCA,81736,SARAVENA,1994,0.0
136,81,ARAUCA,81794,TAME,1994,0.0
137,86,PUTUMAYO,86001,MOCOA,1994,0.0
138,86,PUTUMAYO,86320,ORITO,1994,0.0
139,86,PUTUMAYO,86568,PUERTO ASÍS,1994,0.0
140,86,PUTUMAYO,86757,SAN MIGUEL,1994,0.0
141,86,PUTUMAYO,86865,VALLE DEL GUAMUEZ,1994,0.0
142,5,ANTIOQUIA,5031,AMALFI,1994,0.0
143,5,ANTIOQUIA,5045,APARTADÓ,1994,0.0
144,5,ANTIOQUIA,5107,BRICEÑO,1994,0.0
145,5,ANTIOQUIA,5604,REMEDIOS,1994,0.0
146,5,ANTIOQUIA,5649,SAN CARLOS,1994,0.0
147,5,ANTIOQUIA,5670,SAN ROQUE,1994,0.0
148,13,BOLÍVAR,13006,ACHÍ,1994,0.0
149,13,BOLÍVAR,13458,MONTECRISTO,1994,0.0
150,13,BOLÍVAR,13654,SAN JACINTO,1994,0.0
151,13,BOLÍVAR,13810,TIQUISIO,1994,0.0
152,15,BOYACÁ,15442,MARIPÍ,1994,0.0
153,17,CALDAS,17495,NORCASIA,1994,0.0
154,17,CALDAS,17541,PENSILVANIA,1994,0.0
155,18,CAQUETÁ,18479,MORELIA,1994,0.0
156,19,CAUCA,19318,GUAPÍ,1994,0.0
157,19,CAUCA,19418,LÓPEZ DE MICAY,1994,0.0
158,19,CAUCA,19473,MORALES,1994,0.0
159,19,CAUCA,19622,ROSAS,1994,0.0
160,19,CAUCA,19809,TIMBIQUÍ,1994,0.0
161,23,CÓRDOBA,23574,PUERTO ESCONDIDO,1994,0.0
162,23,CÓRDOBA,23807,TIERRALTA,1994,0.0
163,27,CHOCÓ,27025,ALTO BAUDÓ,1994,0.0
164,27,CHOCÓ,27077,BAJO BAUDÓ,1994,0.0
