,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,AÑO,Kilogramos incautadas
84,8,ATLANTICO,8001,BARRANQUILLA ,1999,0.0
85,8,ATLANTICO,8078,BARANOA,1999,0.0
86,8,ATLANTICO,8296,GALAPA,1999,0.0
87,8,ATLANTICO,8421,LURUACO,1999,0.0
88,8,ATLANTICO,8433,MALAMBO,1999,0.0
89,8,ATLANTICO,8520,PALMAR DE VARELA,1999,0.0
90,8,ATLANTICO,8558,POLONUEVO,1999,0.0
91,8,ATLANTICO,8560,PONEDERA,1999,0.0
92,8,ATLANTICO,8573,PUERTO COLOMBIA,1999,0.0
93,8,ATLANTICO,8634,SABANAGRANDE,1999,0.0
94,8,ATLANTICO,8638,SABANALARGA,1999,0.0
95,8,ATLANTICO,8758,SOLEDAD,1999,0.0
96,8,ATLANTICO,8832,TUBARÁ,1999,4.0
97,11,BOGOTÁ D.C.,11001,BOGOTÁ D.C.,1999,45.0
98,13,BOLÍVAR,13001,CARTAGENA DE INDIAS ,1999,1.0
99,13,BOLÍVAR,13030,ALTOS DEL ROSARIO,1999,0.0
100,13,BOLÍVAR,13042,ARENAL,1999,0.0
101,13,BOLÍVAR,13074,BARRANCO DE LOBA,1999,3.0
102,13,BOLÍVAR,13160,CANTAGALLO,1999,0.0
103,13,BOLÍVAR,13430,MAGANGUÉ,1999,0.0
104,13,BOLÍVAR,13458,MONTECRISTO,1999,0.0
105,13,BOLÍVAR,13468,MOMPÓS,1999,0.0
106,13,BOLÍVAR,13473,MORALES,1999,0.0
107,13,BOLÍVAR,13549,PINILLOS,1999,0.0
108,13,BOLÍVAR,13600,RIOVIEJO,1999,0.0
109,13,BOLÍVAR,13654,SAN JACINTO,1999,22.25
110,13,BOLÍVAR,13670,SAN PABLO,1999,400.0
111,13,BOLÍVAR,13683,SANTA ROSA,1999,0.0
112,13,BOLÍVAR,13688,SANTA ROSA DEL SUR,1999,0.0
113,13,BOLÍVAR,13744,SIMITÍ,1999,0.0
114,13,BOLÍVAR,13810,TIQUISIO ,1999,0.0
115,15,BOYACÁ,15001,TUNJA,1999,0.0
116,15,BOYACÁ,15022,ALMEIDA,1999,0.0
117,15,BOYACÁ,15051,ARCABUCO,1999,0.0
118,15,BOYACÁ,15104,BOYACÁ,1999,0.0
119,15,BOYACÁ,15135,CAMPOHERMOSO,1999,0.0
120,15,BOYACÁ,15176,CHIQUINQUIRÁ,1999,0.0
121,15,BOYACÁ,15223,CUBARÁ,1999,0.0
122,15,BOYACÁ,15236,CHIVOR,1999,0.0
123,15,BOYACÁ,15325,GUAYATÁ,1999,0.0
124,15,BOYACÁ,15425,MACANAL,1999,0.0
125,15,BOYACÁ,15507,OTANCHE,1999,0.0
126,15,BOYACÁ,15531,PAUNA,1999,0.0
127,15,BOYACÁ,15572,PUERTO BOYACÁ,1999,0.0
128,15,BOYACÁ,15632,SABOYÁ,1999,0.0
129,15,BOYACÁ,15667,SAN LUIS DE GACENO,1999,0.0
130,15,BOYACÁ,15681,SAN PABLO DE BORBUR,1999,0.0
131,15,BOYACÁ,15690,SANTA MARÍA,1999,0.0
132,15,BOYACÁ,15696,SANTA SOFÍA,1999,0.0
133,15,BOYACÁ,15755,SOCOTÁ,1999,0.0
134,15,BOYACÁ,15759,SOGAMOSO,1999,3.0
135,17,CALDAS,17001,MANIZALES,1999,0.0
136,17,CALDAS,17042,ANSERMA,1999,0.0
137,17,CALDAS,17174,CHINCHINÁ,1999,1.0
138,17,CALDAS,17380,LA DORADA,1999,65.0
139,17,CALDAS,17486,NEIRA,1999,1.0
140,17,CALDAS,17541,PENSILVANIA,1999,0.0
141,17,CALDAS,17614,RIOSUCIO,1999,0.0
142,17,CALDAS,17662,SAMANÁ,1999,0.0
143,17,CALDAS,17777,SUPÍA,1999,0.0
144,18,CAQUETÁ,18001,FLORENCIA,1999,688.447
145,18,CAQUETÁ,18029,ALBANIA,1999,0.0
146,18,CAQUETÁ,18094,BELÉN DE LOS ANDAQUÍES,1999,20.0
147,18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,1999,0.0
148,18,CAQUETÁ,18205,CURILLO,1999,9.0
149,18,CAQUETÁ,18247,EL DONCELLO,1999,24.053
150,18,CAQUETÁ,18256,EL PAUJIL,1999,0.0
151,18,CAQUETÁ,18410,MONTAÑITA,1999,800.0
152,18,CAQUETÁ,18460,MILÁN,1999,1000.0
153,18,CAQUETÁ,18479,MORELIA,1999,10.0
154,18,CAQUETÁ,18592,PUERTO RICO,1999,0.0
155,18,CAQUETÁ,18610,SAN JOSÉ DEL FRAGUA,1999,0.0
156,18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,1999,5.0
157,18,CAQUETÁ,18756,SOLANO,1999,1.0
158,18,CAQUETÁ,18785,SOLITA,1999,20.0
159,18,CAQUETÁ,18860,VALPARAÍSO,1999,0.0
160,19,CAUCA,19001,POPAYÁN,1999,5.69
161,19,CAUCA,19022,ALMAGUER,1999,0.0
162,19,CAUCA,19050,ARGELIA,1999,0.0
163,19,CAUCA,19075,BALBOA,1999,54.0
164,19,CAUCA,19100,BOLÍVAR,1999,16.0
165,19,CAUCA,19110,BUENOS AIRES,1999,484.0
166,19,CAUCA,19137,CALDONO,1999,0.0
167,19,CAUCA,19142,CALOTO,1999,0.0
168,19,CAUCA,19212,CORINTO,1999,450.0
169,19,CAUCA,19256,EL TAMBO,1999,0.0
170,19,CAUCA,19318,GUAPI,1999,0.0
171,19,CAUCA,19364,JAMBALÓ,1999,0.0
172,19,CAUCA,19450,MERCADERES,1999,4.31
173,19,CAUCA,19455,MIRANDA,1999,1.5
174,19,CAUCA,19532,PATÍA  ,1999,8.5
175,19,CAUCA,19533,PIAMONTE,1999,0.0
176,19,CAUCA,19548,PIENDAMÓ,1999,0.0
177,19,CAUCA,19573,PUERTO TEJADA,1999,0.0
178,19,CAUCA,19622,ROSAS,1999,1.5
179,19,CAUCA,19693,SAN SEBASTIÁN,1999,0.0
180,19,CAUCA,19698,SANTANDER DE QUILICHAO,1999,5.5
181,19,CAUCA,19701,SANTA ROSA,1999,0.0
182,19,CAUCA,19780,SUÁREZ,1999,0.0
183,19,CAUCA,19807,TIMBÍO,1999,0.0
184,19,CAUCA,19809,TIMBIQUÍ,1999,0.0
185,20,CESAR,20001,VALLEDUPAR,1999,0.0
186,20,CESAR,20011,AGUACHICA,1999,0.0
187,20,CESAR,20013,AGUSTÍN CODAZZI,1999,0.0
188,20,CESAR,20060,BOSCONIA,1999,0.0
189,20,CESAR,20178,CHIRIGUANÁ,1999,0.0
190,20,CESAR,20228,CURUMANÍ,1999,0.0
191,20,CESAR,20295,GAMARRA,1999,0.0
192,20,CESAR,20517,PAILITAS,1999,0.0
193,20,CESAR,20614,RÍO DE ORO,1999,0.0
194,20,CESAR,20710,SAN ALBERTO,1999,0.0
195,20,CESAR,20770,SAN MARTÍN,1999,0.0
196,23,CÓRDOBA,23001,MONTERÍA,1999,0.0
197,23,CÓRDOBA,23079,BUENAVISTA,1999,0.0
198,23,CÓRDOBA,23162,CERETÉ,1999,0.0
199,23,CÓRDOBA,23189,CIÉNAGA DE ORO,1999,0.0
200,23,CÓRDOBA,23417,LORICA,1999,0.0
201,23,CÓRDOBA,23466,MONTELÍBANO,1999,0.0
202,23,CÓRDOBA,23555,PLANETA RICA,1999,0.0
203,23,CÓRDOBA,23570,PUEBLO NUEVO,1999,0.0
204,23,CÓRDOBA,23574,PUERTO ESCONDIDO,1999,0.0
205,23,CÓRDOBA,23580,PUERTO LIBERTADOR,1999,0.0
206,23,CÓRDOBA,23660,SAHAGÚN,1999,0.0
207,23,CÓRDOBA,23686,SAN PELAYO,1999,0.0
208,23,CÓRDOBA,23807,TIERRALTA,1999,0.0
209,23,CÓRDOBA,23855,VALENCIA,1999,0.0
210,25,CUNDINAMARCA,25019,ALBÁN,1999,3.0
211,25,CUNDINAMARCA,25151,CÁQUEZA,1999,0.0
212,25,CUNDINAMARCA,25245,EL COLEGIO,1999,0.0
213,25,CUNDINAMARCA,25269,FACATATIVÁ,1999,0.0
214,25,CUNDINAMARCA,25290,FUSAGASUGÁ,1999,0.0
215,25,CUNDINAMARCA,25307,GIRARDOT,1999,0.0
216,25,CUNDINAMARCA,25320,GUADUAS,1999,0.0
217,25,CUNDINAMARCA,25335,GUAYABETAL,1999,0.0
218,25,CUNDINAMARCA,25402,LA VEGA,1999,50.0
219,25,CUNDINAMARCA,25430,MADRID,1999,0.0
220,25,CUNDINAMARCA,25436,MANTA,1999,0.0
221,25,CUNDINAMARCA,25438,MEDINA,1999,0.0
222,25,CUNDINAMARCA,25513,PACHO,1999,0.0
223,25,CUNDINAMARCA,25658,SAN FRANCISCO,1999,0.0
224,25,CUNDINAMARCA,25740,SIBATÉ,1999,0.0
225,25,CUNDINAMARCA,25743,SILVANIA,1999,0.0
226,25,CUNDINAMARCA,25754,SOACHA,1999,0.0
227,25,CUNDINAMARCA,25823,TOPAIPÍ,1999,0.0
228,25,CUNDINAMARCA,25839,UBALÁ,1999,0.0
229,25,CUNDINAMARCA,25875,VILLETA,1999,3.0
230,25,CUNDINAMARCA,25885,YACOPÍ,1999,0.0
231,27,CHOCÓ,27001,QUIBDÓ,1999,0.5
232,27,CHOCÓ,27075,BAHÍA SOLANO ,1999,0.0
233,27,CHOCÓ,27077,BAJO BAUDÓ  ,1999,0.0
234,27,CHOCÓ,27361,ISTMINA,1999,0.0
235,27,CHOCÓ,27491,NÓVITA,1999,0.0
236,27,CHOCÓ,27660,SAN JOSÉ DEL PALMAR,1999,0.0
237,41,HUILA,41001,NEIVA,1999,437.34
238,41,HUILA,41013,AGRADO,1999,50.0
239,41,HUILA,41016,AIPE,1999,0.0
240,41,HUILA,41020,ALGECIRAS,1999,0.0
241,41,HUILA,41026,ALTAMIRA,1999,44.5
