,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,Categoría,AÑO,Hectáreas erradicadas
64,18,CAQUETÁ,18592,PUERTO RICO,Territorio con erradicacion intermitente,1998,150.0
65,18,CAQUETÁ,18610,SAN JOSÉ DEL FRAGUA,Territorio con erradicacion intermitente,1998,0.0
66,18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,Territorio con erradicacion intermitente,1998,0.0
67,18,CAQUETÁ,18785,SOLITA,Territorio con erradicacion intermitente,1998,34.0
68,19,CAUCA,19050,ARGELIA,Territorio con erradicacion intermitente,1998,0.0
69,19,CAUCA,19075,BALBOA,Territorio con erradicacion intermitente,1998,0.0
70,19,CAUCA,19100,BOLÍVAR,Territorio con erradicacion intermitente,1998,0.0
71,19,CAUCA,19142,CALOTO,Territorio con erradicacion intermitente,1998,0.0
72,19,CAUCA,19212,CORINTO,Territorio con erradicacion intermitente,1998,7.0
73,19,CAUCA,19256,EL TAMBO,Territorio con erradicacion intermitente,1998,4.0
74,19,CAUCA,19355,INZÁ,Territorio con erradicacion intermitente,1998,2.0
75,19,CAUCA,19397,LA VEGA,Territorio con erradicacion intermitente,1998,0.0
76,19,CAUCA,19450,MERCADERES,Territorio con erradicacion intermitente,1998,0.0
77,19,CAUCA,19455,MIRANDA,Territorio con erradicacion intermitente,1998,0.0
78,19,CAUCA,19517,PÁEZ,Territorio con erradicacion intermitente,1998,23.0
79,19,CAUCA,19532,PATÍA,Territorio con erradicacion intermitente,1998,0.0
80,19,CAUCA,19533,PIAMONTE,Territorio con erradicacion intermitente,1998,0.0
81,19,CAUCA,19698,SANTANDER DE QUILICHAO,Territorio con erradicacion intermitente,1998,0.0
82,19,CAUCA,19780,SUÁREZ,Territorio con erradicacion intermitente,1998,0.0
83,19,CAUCA,19821,TORIBÍO,Territorio sin intervenir en los últimos 5 años,1998,6.0
84,20,CESAR,20011,AGUACHICA,Territorio con erradicacion intermitente,1998,0.0
85,23,CÓRDOBA,23001,MONTERÍA,Territorio sin intervenir en los últimos 5 años,1998,0.0
86,23,CÓRDOBA,23466,MONTELÍBANO,Territorio con erradiacion constante,1998,80.0
87,23,CÓRDOBA,23570,PUEBLO NUEVO,Territorio sin intervenir en los últimos 5 años,1998,0.0
88,23,CÓRDOBA,23580,PUERTO LIBERTADOR,Territorio con erradicacion intermitente,1998,2.0
89,23,CÓRDOBA,23807,TIERRALTA,Territorio con erradiacion constante,1998,0.0
90,25,CUNDINAMARCA,25823,TOPAIPÍ,Territorio con erradicacion intermitente,1998,0.0
91,25,CUNDINAMARCA,25839,UBALÁ,Territorio sin intervenir en los últimos 5 años,1998,0.0
92,27,CHOCÓ,27413,LLORÓ,Territorio con erradicacion intermitente,1998,0.0
93,27,CHOCÓ,27491,NÓVITA,Territorio con erradicacion intermitente,1998,0.0
94,27,CHOCÓ,27615,RIOSUCIO,Territorio con erradicacion intermitente,1998,0.0
95,27,CHOCÓ,27660,SAN JOSÉ DEL PALMAR,Territorio con erradicacion intermitente,1998,0.0
