,CODDEPTO,DEPARTAMENTO,MUNICIPIO,Categoría,AÑO,Hectáreas cultivadas,Ingreso tributario
475,23,CÓRDOBA,SAN JOSÉ DE URÉ,Cultivo permanente,2002,0.0,
476,23,CÓRDOBA,TIERRALTA,Cultivo permanente,2002,178.0,17005.88
477,23,CÓRDOBA,VALENCIA,Cultivo permanente,2002,0.0,8619.74
478,25,CUNDINAMARCA,CAPARRAPÍ,Cultivo abandonado,2002,0.0,4894.81
479,25,CUNDINAMARCA,PAIME,Cultivo abandonado,2002,0.0,2917.44
480,25,CUNDINAMARCA,TOPAIPÍ,Cultivo abandonado,2002,0.0,2494.7
481,25,CUNDINAMARCA,YACOPÍ,Cultivo abandonado,2002,57.0,6502.65
482,94,GUAINÍA,BARRANCO MINA ,Cultivo abandonado,2002,232.0,
483,94,GUAINÍA,INIRIDA,Cultivo abandonado,2002,247.0,12600.33
484,95,GUAVIARE,CALAMAR,Cultivo permanente,2002,4297.0,0.0
485,95,GUAVIARE,EL RETORNO,Cultivo permanente,2002,4458.0,8561.11
486,95,GUAVIARE,MIRAFLORES,Cultivo permanente,2002,14606.0,5039.82
487,95,GUAVIARE,SAN JOSÉ DEL GUAVIARE,Cultivo permanente,2002,4019.0,13634.86
488,44,LA GUAJIRA,DIBULLA,Cultivo intermintente,2002,349.0,5889.22
489,44,LA GUAJIRA,RIOHACHA,Cultivo abandonado,2002,5.0,20574.35
490,47,MAGDALENA,ARACATACA,Cultivo abandonado,2002,0.0,6989.31
491,47,MAGDALENA,CIÉNAGA,Cultivo abandonado,2002,1.0,27189.13
492,47,MAGDALENA,FUNDACIÓN,Cultivo abandonado,2002,0.0,11401.67
493,47,MAGDALENA,SANTA MARTA ,Cultivo permanente,2002,643.0,0.0
494,50,META,LA MACARENA,Cultivo permanente,2002,2084.0,4644.29
495,50,META,LEJANÍAS,Cultivo abandonado,2002,0.0,2868.14
496,50,META,MAPIRIPÁN,Cultivo permanente,2002,2141.0,4006.07
497,50,META,MESETAS,Cultivo intermintente,2002,619.0,3865.12
498,50,META,PUERTO CONCORDIA,Cultivo permanente,2002,299.0,4228.81
499,50,META,PUERTO GAITÁN,Cultivo abandonado,2002,147.0,7285.58
500,50,META,PUERTO LLERAS,Cultivo intermintente,2002,102.0,7496.79
501,50,META,PUERTO LÓPEZ,Cultivo abandonado,2002,0.0,11458.86
502,50,META,PUERTO RICO,Cultivo permanente,2002,2426.0,5974.42
503,50,META,SAN JUAN DE ARAMA,Cultivo permanente,2002,17.0,3185.28
504,50,META,SAN MARTÍN,Cultivo abandonado,2002,3.0,6943.34
505,50,META,URIBE,Cultivo intermintente,2002,452.0,3290.81
506,50,META,VISTAHERMOSA,Cultivo permanente,2002,929.0,4769.07
507,52,NARIÑO,ANCUYA,Cultivo intermintente,2002,0.0,4306.6
